SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1359.50,1372.20,1354.80,1359.15,1355.10,1364.25,161,1040,1415320.00,
500003,AEGIS LOGIS ,A ,Q,197.00,202.95,197.00,202.25,200.95,202.10,524,7968,1603202.00,
500008,AMAR RAJA BA,A ,Q,619.45,623.10,609.40,612.15,611.00,619.95,327,10903,6706511.00,
500009,A.SARABHAI  ,X ,Q,12.25,12.47,11.50,11.78,11.80,12.25,69,11005,129991.00,
500010,HDFC        ,A ,Q,2075.00,2099.20,2063.00,2066.35,2066.35,2090.80,4180,119843,249810615.00,
500012,ANDHRA PETRO,X ,Q,41.00,41.00,38.05,39.20,39.50,40.05,122,16817,662290.00,
500013,ANSAL INFRAS,B ,Q,4.00,4.00,3.83,3.85,3.90,4.03,21,3726,14573.00,
500014,APPLE FINANC,XT,Q,1.27,1.39,1.27,1.27,1.27,1.33,14,6850,8819.00,
500016,ARUNAHTEL   ,XT,Q,4.75,5.23,4.75,5.23,5.23,4.99,2,200,998.00,
500020,BOM DYEING  ,A ,Q,71.25,71.50,67.55,68.75,68.10,72.05,1073,111892,7755219.00,
500024,ASSAMCO     ,T ,Q,1.09,1.09,1.00,1.01,1.01,1.05,49,43831,44058.00,
500027,ATUL LTD.   ,A ,Q,3625.55,3625.55,3511.55,3534.70,3518.30,3618.40,227,543,1933795.00,
500028,ATV PROJECTS,XT,Q,3.70,3.70,3.65,3.65,3.65,3.70,3,1050,3882.00,
500029,AUTOLITE(I) ,B ,Q,23.80,23.80,21.95,22.95,22.95,24.15,8,988,22552.00,
500031,BAJAJ ELECT.,A ,Q,389.00,392.35,366.65,370.40,368.30,384.30,472,8529,3242693.00,
500032,BAJAJHIND   ,B ,Q,5.90,5.95,5.75,5.78,5.78,5.94,161,159086,923237.00,
500033,FORCE MOTR  ,A ,Q,1264.00,1289.00,1229.85,1236.25,1236.25,1259.10,2727,20666,26123389.00,
500034,BAJFINANCE  ,A ,Q,3295.00,3322.95,3245.80,3260.80,3260.80,3294.70,4417,70146,230199100.00,
500038,BALRAM.CHINI,A ,Q,126.00,129.15,119.80,121.35,121.35,126.00,2074,112745,14113989.00,
500039,BANCO PROD. ,B ,Q,100.00,100.50,97.15,97.75,97.75,100.85,179,3305,323966.00,
500040,CENTURY TEXT,A ,Q,860.10,864.95,830.60,835.55,835.55,865.90,1433,45925,38945046.00,
500041,BANNARI AMAN,B ,Q,1399.00,1399.00,1233.95,1234.80,1247.40,1296.20,13,71,88184.00,
500042,BASF INDIA  ,A ,Q,1029.00,1030.90,975.05,985.40,985.40,1016.60,199,667,667118.00,
500043,BATA INDIA  ,A ,Q,1470.05,1488.45,1468.20,1475.85,1475.85,1471.75,939,21369,31608572.00,
500048,BEML LTD    ,A ,Q,771.25,772.00,753.30,761.15,761.15,767.70,1026,25423,19331908.00,
500049,BHARAT ELECT,A ,Q,93.95,95.25,91.50,91.95,91.95,93.40,1750,431229,40395741.00,
500052,BHANSALI ENG,B ,Q,57.50,57.85,54.50,55.10,54.50,57.75,630,49711,2767027.00,
500055,TATASTLBSL  ,B ,Q,22.10,22.15,20.00,21.25,21.25,22.10,311,122587,2634363.00,
500058,BIHAR SPONGE,XT,Q,0.63,0.68,0.63,0.68,0.68,0.65,4,175,116.00,
500059,BINANI IND. ,T ,Q,11.82,12.95,11.82,12.00,12.00,12.40,11,1557,18676.00,
500060,BIRLACABLE  ,B ,Q,44.85,46.50,44.00,44.80,44.90,45.20,176,6101,272896.00,
500067,BLUE STAR   ,A ,Q,706.65,718.00,705.50,714.55,716.05,707.95,232,2155,1536832.00,
500068,DISA INDIA  ,X ,Q,4975.00,5050.00,4965.00,5000.00,5000.00,4975.00,12,56,280060.00,
500069,BNK CAPITAL ,X ,Q,70.25,70.25,70.25,70.25,70.25,70.40,2,102,7165.00,
500074,BPL LTD.    ,B ,Q,16.95,16.95,16.50,16.60,16.50,17.00,28,3147,52635.00,
500078,OAL         ,B ,Q,190.70,194.75,188.15,188.85,190.95,192.40,93,1194,226782.00,
500083,CENTURY EXT ,B ,Q,2.80,2.80,2.62,2.69,2.69,2.70,7,522,1455.00,
500084,CESC LTD.   ,A ,Q,771.25,784.00,769.20,773.85,769.20,777.15,242,3699,2875649.00,
500085,CHAMBAL FERT,A ,Q,143.55,144.30,139.05,140.75,139.05,143.55,179,5365,762390.00,
500086,EXIDE IND.  ,A ,Q,178.00,179.30,174.50,175.20,175.20,178.45,548,41248,7260675.00,
500087,CIPLA LTD.  ,A ,Q,478.80,478.90,467.00,468.05,468.05,478.80,710,33340,15696382.00,
500092,CRISIL LTD  ,A ,Q,1277.00,1277.00,1228.90,1250.55,1248.00,1270.75,130,384,479008.00,
500093,CGPOWER     ,A ,Q,11.80,11.80,11.80,11.80,11.80,14.75,270,125890,1485502.00,
500096,DABUR (I)   ,A ,Q,430.50,430.80,422.00,426.95,426.10,431.80,1375,49468,21096723.00,
500097,DALMIASUG   ,B ,Q,82.30,83.00,77.50,77.95,77.55,82.90,124,5135,412119.00,
500101,ARVIND Ltd  ,A ,Q,50.20,50.20,47.30,48.30,48.30,50.15,1725,1045954,50630661.00,
